 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,44441E+12;SE ;ARAUA ;CENTRO ;RUA C, N. 735, QD D LT 15 ;35.750,00;65.000,00;45.00;Casa, 62.02 de área total, 62.02 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408304082
8,55553E+12;SE ;BARRA DOS COQUEIROS ;POVOADO CAPOA ;AV PROJETADA - ALAMEDAS DA BARRA, N. 410, Apto 003, BL 04 ;77.588,00;140.000,00;44.58;Apartamento, 0.00 de área total, 58.79 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533115372
8,55554E+12;SE ;BARRA DOS COQUEIROS ;CENTRO ;RUA JOAO VITAL, N. 10, Apto 002, BL HAVAI ;91.202,26;160.935,70;43.34;Apartamento, 0.00 de área total, 50.60 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537810121
8,55553E+12;SE ;BARRA DOS COQUEIROS ;ATALAIA NOVA ;AVENIDA PROJETADA, N. 410, Apto 208, BL 11 - ALAMEDAS DA BARRA ;101.400,00;169.000,00;40.00;Apartamento, 51.67 de área total, 51.67 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531838164
1,55553E+12;SE ;BARRA DOS COQUEIROS ;POVOADO CAPOA ;AVENIDA PROJETADA ALAMEDAS DA BARRA, N. S/N, Apto 306, BLOCO 06 ;83.979,99;130.000,00;35.41;Apartamento, 58.79 de área total, 58.79 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531277113
1,55553E+12;SE ;BARRA DOS COQUEIROS ;CENTRO ;RUA JOAO VITAL, N. 10, Apto 108, 108, COND VIVENDAS DO PACIFICO, BLOCO ;96.899,99;150.000,00;35.41;Apartamento, 79.87 de área total, 64.85 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531890311
8,7877E+12;SE ;BARRA DOS COQUEIROS ;CENTRO ;AVENIDA OCEANICA, N. 800, Apto 307, BL 07, BL PRAIA MAR ;133.795,59;156.000,00;14.24;Apartamento, 0.00 de área total, 40.22 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701913286
8,44443E+12;SE ;BARRA DOS COQUEIROS ;Barra dos Coqueiros ;RUA A, N. sn, Apto 04, LOTE 13 ;158.833,16;184.000,00;13.68;Apartamento, 80.98 de área total, 80.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426728131
8,55553E+12;SE ;BARRA DOS COQUEIROS ;CENTRO ;AVENIDA PROJETADA ALAMEDAS DA BARRA, N. 206, Apto 403, BL 11 ;144.000,00;144.000,00;0.00;Apartamento, 0.00 de área total, 50.55 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527627677
8,7877E+12;SE ;BARRA DOS COQUEIROS ;CENTRO ;AVENIDA OCEÂNICA, N. 800, Apto 301, BL 03 ;182.099,56;143.000,00;0.00;Apartamento, 0.00 de área total, 51.02 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700994738
